Generic,Brand,Class,Adverse reactions,Mechanism
milnacipran,SAVELLA; SAVELLA 4-WEEK TITRATION,Selective serotonin reuptake inhibitor,Cardiac Disorders Palpitations Tachycardia Eye Disorders Vision blurred Gastrointestinal Disorders Nausea Constipation Vomiting Dry mouth Abdominal pain General Disorders Chest pain Chills Chest discomfort Infections Upper respiratory tract infection Investigations Heart rate increased Blood pressure increased Metabolism and Nutrition Disorders Decreased appetite Nervous System Disorders Headache Dizziness Migraine Paresthesia Tremor Hypoesthesia Tension headache Psychiatric Disorders Insomnia Anxiety Respiratory Disorders Dyspnea Skin Disorders Hyperhidrosis Rash Pruritus Vascular Disorders Hot flush Hypertension Flushing,The exact mechanism of the central pain inhibitory action of milnacipran and its ability to improve the symptoms of fibromyalgia in humans are unknown. Preclinical studies have shown that milnacipran is a potent inhibitor of neuronal norepinephrine and serotonin reuptake; milnacipran inhibits norepinephrine uptake with approximately 3-fold higher potency in vitro than serotonin without directly affecting the uptake of dopamine or other neurotransmitters.
mirtazapine,Mirataz; REMERON,Atypical antidepressant,Musculoskeletal System Myalgia Nervous System Somnolence Dizziness Abnormal Dreams Thinking Abnormal Tremor Confusion Respiratory System Dyspnea Urogenital System Urinary Frequency,"The mechanism of action of mirtazapine for the treatment of major depressive disorder, is unclear. However, its efficacy could be mediated through its activity as an antagonist at central presynaptic α 2 -adrenergic inhibitory autoreceptors and heteroreceptors and enhancing central noradrenergic and serotonergic activity."
molindone,,Typical antipsychotic,"Nervous System Occasionally blurring of vision, tachycardia, nausea, dry mouth and salivation have been reported. Urinary retention and constipation may occur particularly if anticholinergic drugs are used to treat extrapyramidal symptoms. One patient being treated with Molindone Hydrochloride experienced priapism which required surgical intervention, apparently resulting in residual impairment of erectile function. Laboratory Tests There have been rare reports of leucopenia and leucocytosis. If such reactions occur, treatment with Molindone Hydrochloride may continue if clinical symptoms are absent. Alterations of blood glucose, B.U.N., and red blood cells have not been considered clinically significant. Metabolic and Endocrine Effects Alteration of thyroid function has not been significant. Amenorrhea has been reported infrequently. Resumption of menses in previously amenorrheic women has been reported. Initially heavy menses may occur. Galactorrhea and gynecomastia have been reporte","Molindone Hydrochloride has a pharmacological profile in laboratory animals which predominantly resembles that of other antipsychotic agents causing reduction of spontaneous locomotion and aggressiveness, suppression of a conditioned response and antagonism of the bizarre stereotyped behavior and hyperactivity induced by amphetamines. In addition, Molindone Hydrochloride antagonizes the depression caused by the tranquilizing agent tetrabenazine."
naloxone,BUNAVAIL; KLOXXADO,Central Nervous System Stimulant,"cardiac arrest. Death, coma, and encephalopathy have been reported as sequelae of these events. Excessive doses of naloxone in postoperative patients may result in significant reversal of analgesia and may cause agitation (see PRECAUTIONS and DOSAGE AND ADMINISTRATION; USAGE IN ADULTS, POSTOPERATIVE OPIOID DEPRESSION). Opioid Depression Abrupt reversal of opioid depression may result in nausea, vomiting, sweating, tachycardia, increased blood pressure, tremulousness, seizures, ventricular tachycardia and fibrillation, pulmonary edema, and cardiac arrest which may result in death (see PRECAUTIONS). Opioid Dependence Abrupt reversal of opioid effects in persons who are physically dependent on opioids may precipitate an acute withdrawal syndrome which may include, but is not limited to the following signs and symptoms: body aches, fever, sweating, runny nose, sneezing, piloerection, yawning, weakness, shivering or trembling, nervousness, restlessness or irritability, diarrhea, nausea or v","Also, Naloxone can reverse the psychotomimetic and dysphoric effects of agonist-antagonists such as pentazocine. Naloxone is an essentially pure opioid antagonist, i.e., it does not possess the ""agonistic"" or morphine-like properties characteristic of other opioid antagonists."
naltrexone,CONTRAVE; REVIA,Central Nervous System Stimulant,"Respiratory Nasal congestion, itching, rhinorrhea, sneezing, sore throat, excess mucus or phlegm, sinus trouble, heavy breathing, hoarseness, cough, shortness of breath. Cardiovascular Nose bleeds, phlebitis, edema, increased blood pressure, non-specific ECG changes, palpitations, tachycardia. Gastrointestinal Excessive gas, hemorrhoids, diarrhea, ulcer. Musculoskeletal Painful shoulders, legs or knees; tremors, twitching. Genitourinary Increased frequency of, or discomfort during, urination; increased or decreased sexual interest. Dermatologic Oily skin, pruritus, acne, athlete's foot, cold sores, alopecia. Psychiatric Depression, paranoia, fatigue, restlessness, confusion, disorientation, hallucinations, nightmares, bad dreams. Special senses Eyes blurred, burning, light sensitive, swollen, aching, strained; ears–""clogged,"" aching, tinnitus. General Increased appetite, weight loss, weight gain, yawning, somnolence, fever, dry mouth, head ""pounding,"" inguinal pain, swollen glands, ""si","Pharmacodynamic Actions Naltrexone hydrochloride is a pure opioid antagonist. However, it does produce some pupillary constriction, by an unknown mechanism."
nefazodone,,Selective serotonin reuptake inhibitor,Gastrointestinal Dry mouth Nausea Constipation Dyspepsia Diarrhea Increased appetite Nausea & vomiting Metabolic Peripheral edema Thirst Musculoskeletal Arthralgia Nervous Somnolence Dizziness Insomnia Lightheadedness Confusion Memory impairment Paresthesia Vasodilatation b Abnormal dreams Concentration decreased Ataxia Incoordination Psychomotor retardation Tremor Hypertonia Libido decreased Respiratory Pharyngitis Cough increased Special Senses Blurred vision Abnormal vision c Tinnitus Taste perversion Visual field defect Urogenital Urinary frequency Urinary tract infection Urinary retention Vaginitis d Breast pain d Dose Dependency of Adverse Events in -Controlled Trials a Percent of Patients Nefazodone Nefazodone ≤ Gastrointestinal Nausea Constipation Nervous Somnolence Dizziness Confusion Special Senses Abnormal Vision Blurred Vision Tinnitus,"The mechanism of action of nefazodone, as with other antidepressants, is unknown. Preclinical studies have shown that nefazodone inhibits neuronal uptake of serotonin and norepinephrine."
nortriptyline,PAMELOR,Tricyclic Antidepressant,"Psychiatric - Confusional states (especially in the elderly) with hallucinations, disorientation, delusions; anxiety, restlessness, agitation; insomnia, panic, nightmares; hypomania; exacerbation of psychosis. Neurologic - Numbness, tingling, paresthesias of extremities; incoordination, ataxia, tremors; peripheral neuropathy; extrapyramidal symptoms; seizures, alteration in EEG patterns; tinnitus. Anticholinergic - Dry mouth and, rarely, associated sublingual adenitis; blurred vision, disturbance of accommodation, mydriasis; constipation, paralytic ileus; urinary retention, delayed micturition, dilation of the urinary tract. Allergic - Skin rash, petechiae, urticaria, itching, photosensitization (avoid excessive exposure to sunlight); edema (general or of face and tongue), drug fever, cross-sensitivity with other tricyclic drugs. Hematologic - Bone marrow depression, including agranulocytosis; eosinophilia; purpura; thrombocytopenia. Gastrointestinal - Nausea and vomiting, anorexia, ep",The mechanism of mood elevation by tricyclic antidepressants is at present unknown. Nortriptyline hydrochloride is not a monoamine oxidase inhibitor.
olanzapine,LYBALVI; SYMBYAX,Atypical antipsychotic,Musculoskeletal System Extremity pain (other than joint) Joint pain Nervous System Somnolence Insomnia Dizziness Abnormal gait Tremor Akathisia Hypertonia Articulation impairment Respiratory System Rhinitis Cough increased Pharyngitis Special Senses Amblyopia Urogenital System Urinary incontinence Urinary tract infection Percentage of Patients from a Schizophrenia Trial with Treatment-Emergent Adverse Reactions for the Dose Range Groups and Percentage of Patients Reporting Event Olanzapine Olanzapine Olanzapine ± ± ± Adverse Reaction Asthenia Dry mouth Nausea Somnolence Tremor Common Treatment-Emergent Adverse Reactions Associated with the Use of Oral Olanzapine in 6-Week Adjunct to Lithium or Valproate Trials — Bipolar I Disorder (Manic or Mixed Episodes) Adverse Reaction Percentage of Patients Reporting Event Olanzapine with lithium or valproate with lithium or valproate Dry mouth Weight gain Increased appetite Dizziness Back pain Constipation Speech disorder Increased salivation Amn,"The mechanism of action of olanzapine, in the listed indications is unclear. However, the efficacy of olanzapine in schizophrenia could be mediated through a combination of dopamine and serotonin type 2 (5HT 2 ) antagonism."
oxazepam,,Benzodiazepine,"psychiatric patients; these reactions may be secondary to relief of anxiety and usually appear in the first two weeks of therapy. Other side effects occurring during oxazepam therapy include rare instances of minor diffuse skin rashes - morbilliform, urticarial, and maculopapular, nausea, lethargy, edema, slurred speech, tremor, and altered libido. Such side effects have been infrequent and are generally controlled with reduction of dosage. A case of an extensive fixed drug eruption also has been reported. Although rare, leukopenia and hepatic dysfunction including jaundice have been reported during therapy. Periodic blood counts and liver-function tests are advisable. Ataxia with oxazepam has been reported in rare instances and does not appear to be specifically related to dose or age. Although the following side reactions have not as yet been reported with oxazepam, they have occurred with related compounds (chlordiazepoxide and diazepam): paradoxical excitation with severe rage reac","Pharmacokinetic testing in 12 volunteers demonstrated that a single 30 mg dose of a capsule, tablet or suspension will result in an equivalent extent of absorption. For the capsule and tablet, peak plasma levels averaged 450 mg/mL and were observed to occur about 3 hours after dosing."
oxcarbazepine,OXTELLAR; TRILEPTAL,Antimanic Agent,Musculoskeletal system Muscle weakness Sprains and strains Nervous system Headache Dizziness Somnolence Ataxia Nystagmus Abnormal gait Insomnia Tremor Nervousness Agitation Abnormal coordination Abnormal EEG Speech disorder Confusion Cranial injury NOS Dysmetria Abnormal thinking Respiratory system Rhinitis Skin and appendages Acne Special senses Diplopia Vertigo Abnormal vision Abnormal accommodation / Adverse reaction Oxcarbazepine dosage Oxcarbazepine Oxcarbazepine Body as a whole Fatigue Fever Allergy Generalized edema Chest pain Digestive system Nausea Vomiting Diarrhea Dyspepsia Anorexia Abdominal pain Dry mouth Hemorrhage rectum Toothache Hemic and lymphatic system Lymphadenopathy Infections and infestations Viral infection Infection Metabolic and nutritional disorders Hyponatremia Thirst Nervous system Headache Dizziness Somnolence Anxiety Ataxia Confusion Nervousness Insomnia Tremor Amnesia Aggravated convulsions Emotional lability Hypoesthesia Abnormal coordination Nystagmus,"The precise mechanism by which oxcarbazepine and MHD exert their anti-seizure effect is unknown; however, in vitro electrophysiological studies indicate that they produce blockade of voltage-sensitive sodium channels, resulting in stabilization of hyperexcited neural membranes, inhibition of repetitive neuronal firing, and diminution of propagation of synaptic impulses. In addition, increased potassium conductance and modulation of high-voltage activated calcium channels may contribute to the anticonvulsant effects of the drug."
oxybate,LUMRYZ; LUMRYZ 28-DAY STARTER,General anesthetic,Gastrointestinal Disorders Vomiting Nausea Investigations Weight Decreased Metabolism and Nutritional Disorders Decreased Appetite Nervous System Disorders Dizziness Somnolence Headache Psychiatric Disorders Enuresis Anxiety Somnambulism,The mechanism of action of LUMRYZ in the treatment of narcolepsy is unknown. LUMRYZ is a CNS depressant.
paliperidone,ERZOFRI; INVEGA,Atypical antipsychotic,"gastrointestinal obstruction Orthostatic hypotension and syncope Falls Leukopenia, neutropenia, and agranulocytosis Potential for cognitive and motor impairment Seizures Dysphagia Priapism Disruption of body temperature regulation Commonly observed adverse reactions (incidence ≥ and at least twice that for were Adults with schizophrenia: extrapyramidal symptoms, tachycardia, and akathisia. Adolescents with schizophrenia: somnolence, akathisia, tremor, dystonia, cogwheel rigidity, anxiety, weight increased, and tachycardia. Adults with schizoaffective disorder: extrapyramidal symptoms, somnolence, dyspepsia, constipation, weight increased, and nasopharyngitis. To report SUSPECTED ADVERSE REACTIONS, contact AvKARE at 1-855-361-3993 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch Clinical Trials Experience The most common adverse reactions in clinical trials in adult subjects with schizophrenia (reported in or more of subjects treated with paliperidone and at least twice the rate in any","The mechanism of action of paliperidone in schizophrenia is unclear. However, the drug's therapeutic effect in schizophrenia could be mediated through a combination of central dopamine Type 2 (D 2 ) and serotonin Type 2 (5HT 2A ) receptor antagonism."
paliperidone palmitate,Erzofri; Invega,Atypical antipsychotic,"Gastrointestinal disorders Abdominal discomfort/abdominal pain upper Diarrhea Dry mouth Nausea Toothache Vomiting General disorders and administration site conditions Asthenia Fatigue Injection site reactions Infections and infestations Nasopharyngitis Upper respiratory tract infection Urinary tract infection Investigations Weight increased Musculoskeletal and connective tissue disorders Back pain Musculoskeletal stiffness Myalgia Pain in extremity Nervous system disorders Akathisia Dizziness Extrapyramidal disorder Headache Somnolence/sedation Psychiatric disorders Agitation Anxiety Nightmare Respiratory, thoracic and mediastinal disorders Cough Vascular disorders Hypertension Extrapyramidal Symptoms (EPS) Assessed by Incidence of Rating Scales and Use of Anticholinergic Medication – Schizophrenia Studies in Adults Percentage of Subjects Once-a-Month Paliperidone Palmitate Extended-Release Injectable Suspension Scale Parkinsonism For parkinsonism, percent of subjects with Simpson-Angu","The mechanism of action of paliperidone in the listed indications is unclear. However, the drug's effect in schizophrenia could be mediated through a combination of central dopamine Type 2 (D 2) and serotonin Type 2 (5HT 2A ) receptor antagonism."
paroxetine,BRISDELLE; PAXIL,Selective serotonin reuptake inhibitor,"Musculoskeletal System Myalgia NA NA - - NA NA Nervous System Somnolence Insomnia Dizziness NA NA Libido Decreased Nervousness NA NA - - NA NA Tremor Anxiety NA NA - - Respiratory System Sinusitis NA NA - - NA NA Yawn - - Skin and Appendages Sweating Special Senses Abnormal Vision a - - Urogenital System Abnormal Ejaculation b,c Female Genital Disorder b,d - - Impotence b / Adverse Reaction Reporting Adverse Reaction Continuous Dosing Luteal Phase Dosing Paroxetine HCL CR Paroxetine HCL CR Body as a Whole Asthenia Headache NA NA Infection NA NA Digestive System Nausea Diarrhea Constipation Nervous System Libido Decreased Somnolence Insomnia Dizziness Tremor Skin and Appendages Sweating Urogenital System Female Genital Disorders c Studies and Studies and Study Studies and (continuous Dosing) Study (Luteal Phase Dosing) Paroxetine HCL CR Paroxetine HCL CR Paroxetine HCL CR Paroxetine HCL CR Paroxetine HCL CR n (males) NA NA NA NA Decreased Libido NA NA NA NA Abnormal ejaculation NA NA NA","The mechanism of action of paroxetine in the treatment of major depressive disorder (MDD), panic disorder (PD), social anxiety disorder (SAD), and premenstrual dysphoric disorder (PMDD) is unknown, but is presumed to be linked to potentiation of serotonergic activity in the central nervous system resulting from inhibition of neuronal reuptake of serotonin (5-HT). 12.2"
pentobarbital,Euthaphen; Euthasol,Barbiturate,"Nervous System: Somnolence. Less than in patients. Adverse reactions estimated to occur at a rate of less than in patients listed below, grouped by organ system, and by decreasing order of occurrence are: Nervous system: Agitation, confusion, hyperkinesia, ataxia, CNS depression, nightmares, nervousness, psychiatric disturbance, hallucinations, insomnia, anxiety, dizziness, thinking abnormality. Respiratory system: Hypoventilation, apnea. Cardiovascular system: Bradycardia, hypotension, syncope. Digestive system: Nausea, vomiting, constipation. Other reported reactions: Headache, injection site reactions, hypersensitivity reactions (angioedema, skin rashes, exfoliative dermatitis), fever, liver damage, megaloblastic anemia following chronic phenobarbital use. To report SUSPECTED ADVERSE REACTIONS, contact Hikma Pharmaceuticals USA Inc. at 1-877-845-0689 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch .","Barbiturates are bound to plasma and tissue proteins to a varying degree with the degree of binding increasing directly as a function of lipid solubility. Phenobarbital has the lowest lipid solubility, lowest plasma binding, lowest brain protein binding, the longest delay in onset of activity, and the longest duration of action."
perphenazine,,Typical antipsychotic,"psychiatric patients, who may fail to seek treatment of the condition. Allergic Effects urticaria, erythema, eczema, exfoliative dermatitis, pruritus, photosensitivity, asthma, fever, anaphylactoid reactions, laryngeal edema, and angioneurotic edema; contact dermatitis in nursing personnel administering the drug; and in extremely rare instances, individual idiosyncrasy or hypersensitivity to phenothiazines has resulted in cerebral edema, circulatory collapse, and death. Endocrine Effects lactation, galactorrhea, moderate breast enlargement in females and gynecomastia in males on large doses, disturbances in the menstrual cycle, amenorrhea, changes in libido, inhibition of ejaculation, syndrome of inappropriate ADH (antidiuretic hormone) secretion, false positive pregnancy tests, hyperglycemia, hypoglycemia, glycosuria. Cardiovascular Effects Postural hypotension, tachycardia (especially with sudden marked increase in dosage), bradycardia, cardiac arrest, faintness, and dizziness. Occas","Pharmacokinetics Following oral administration of perphenazine tablets, USP mean peak plasma perphenazine concentrations were observed between 1 to 3 hours. The plasma elimination half-life of perphenazine was independent of dose and ranged between 9 and 12 hours."
phencyclidine (pcp),KETALAR; Ketaset,General Anesthetic,"Respiratory Depression Pediatric Neurotoxicity Drug-Induced Liver Injury The following adverse reactions associated with the use of KETALAR were identified in clinical studies or postmarketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular disorders Elevated blood pressure, heart rate, and cardiac index; decreases in blood pressure and heart rate; arrhythmias; cardiac decompensation (in patients with suspected catecholamine depletion). Eye disorders Diplopia, nystagmus, elevation in intraocular pressure. Gastrointestinal disorders Anorexia, nausea, vomiting, hepatobiliary dysfunction. Biliary duct dilatation and/or biliary duct stricture and/or stenosis with or without evidence of biliary obstruction and secondary sclerosing cholangitis has been reported with recurrent use (e.g., misuse/abuse or medic","KETALAR, a racemic mixture of ketamine, is a non-selective, non-competitive antagonist of the N-methyl-D-aspartate (NMDA) receptor, an ionotropic glutamate receptor. The major circulating metabolite of ketamine (norketamine) demonstrated activity at the same receptor with less affinity."
phenelzine,NARDIL,Monoamine oxidase inhibitor,"Nervous System —Dizziness, headache, drowsiness, sleep disturbances (including insomnia and hypersomnia), fatigue, weakness, tremors, twitching, myoclonic movements, hyperreflexia. Gastrointestin al—Constipation, dry mouth, gastrointestinal disturbances, elevated serum transaminases (without accompanying signs and symptoms). Metabolic —Weight gain. Cardiovascular —Postural hypotension, edema. Genitourinary —Sexual disturbances, eg, anorgasmia and ejaculatory disturbances and impotence. Less common mild to moderate side effects (some of which have been reported in a single patient or by a single physician) include: Nervous System —Jitteriness, palilalia, euphoria, nystagmus, paresthesias. Genitourinary —Urinary retention. Metabolic —Hypernatremia. Dermatologic —Pruritus, skin rash, sweating. Special Senses —Blurred vision, glaucoma. Although reported less frequently, and sometimes only once, additional severe side effects include: Nervous System —Ataxia, shock-like coma, toxic delirium,","Drugs that inhibit monoamine oxidase in the laboratory are associated with a number of clinical effects. Thus, it is unknown whether MAO inhibition per se, other pharmacologic actions, or an interaction of both is responsible for the clinical effects observed."
phenobarbital,DONNATAL; PHENOHYTRO,Anti-epileptic Agent,"Respiratory/Circulatory –Respiratory depression, apnea, circulatory collapse. Allergic –Acquired hypersensitivity to barbiturates consists chiefly in allergic reactions that occur especially in persons who tend to have asthma, urticaria, angioedema, and similar conditions. Hypersensitivity reactions in this category include localized swelling, particularly of the eyelids, cheeks or lips, and erythematous dermatitis. Rarely, exfoliative dermatitis (e.g., Stevens-Johnson syndrome and toxic epidermal necrolysis) may be caused by phenobarbital and can prove fatal. The skin eruption may be associated with fever, delirium, and marked degenerative changes in the liver and other parenchymatous organs. In a few cases, megaloblastic anemia has been associated with the chronic use of phenobarbital. Other –Nausea and vomiting; headache, osteomalacia. The following adverse reactions and their incidence were compiled from surveillance of thousands of hospitalized patients who received barbiturates.","Barbiturates are bound to plasma and tissue proteins to a varying degree with the degree of binding increasing directly as a function of lipid solubility. Phenobarbital has the lowest lipid solubility, lowest plasma binding, lowest brain protein binding, the longest delay in onset of activity, and the longest duration of action."
phenytoin,DILANTIN; PHENYTEK,Hydantoin anticonvulsant,"Cardiac Effects Angioedema Hepatic Injury Hematopoietic Complications Effects on Vitamin D and Bone Exacerbation of Porphyria Teratogenicity and Other Harm to the Newborn Hyperglycemia The following adverse reactions associated with the use of extended phenytoin sodium capsules were identified in clinical studies or postmarketing reports. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Body as a Whole: Allergic reactions in the form of rash and rarely more serious forms and DRESS have been observed, as has angioedema . Anaphylaxis has also been reported. There have also been reports of coarsening of facial features, systemic lupus erythematosus, periarteritis nodosa, and immunoglobulin abnormalities. Digestive System: Acute hepatic failure, toxic hepatitis, liver damage, nausea, vomiting, constipation, enlargement of the lips, and gin",The precise mechanism by which phenytoin exerts its therapeutic effect has not been established but is thought to involve the voltage-dependent blockade of membrane sodium channels resulting in a reduction in sustained high-frequency neuronal discharges. 12.3
pimavanserin,NUPLAZID,Atypical antipsychotic,Gastrointestinal disorders Nausea Constipation General disorders Peripheral edema Gait disturbance Psychiatric disorders Hallucination Confusional state,"The mechanism of action of pimavanserin in the treatment of hallucinations and delusions associated with PDP is unclear. However, the effect of pimavanserin could be mediated through a combination of inverse agonist and antagonist activity at serotonin 5-HT 2A receptors and to a lesser extent at serotonin 5-HT 2C receptors."
pimozide,,Typical antipsychotic,"Gastrointestinal Dry Mouth Diarrhea Nausea Vomiting Constipation Eructations Thirsty Appetite increase Endocrine Menstrual disorder Breast secretions Musculoskeletal Muscle cramps Muscle tightness Stooped posture CNS Drowsiness Sedation Insomnia Dizziness Akathisia Rigidity Speech disorder Handwriting change Akinesia Psychiatric Depression Excitement Nervous Adverse behavior effect Special Senses Visual disturbance Taste change Sensitivity of eyes to light Decrease accommodation Spots before eyes Urogenital Impotence / Adverse Reaction Number of Patients Experiencing Each Event All Events Drug-Related Events Body as a Whole Asthenia Headache Gastrointestinal Dysphagia Increased Salivation Musculoskeletal Myalgia Central Nervous System Dreaming Abnormal Hyperkinesia Somnolence Torticollis Tremor, Limbs Psychiatric Adverse Behavior Effect Nervous Skin Rash Special Senses Visual Disturbance Cardiovascular ECG Abnormal","Pharmacodynamic Actions Pimozide tablets, are an orally active antipsychotic drug product which shares with other antipsychotics the ability to blockade dopaminergic receptors on neurons in the central nervous system. However, receptor blockade is often accompanied by a series of secondary alterations in central dopamine metabolism and function which may contribute to both pimozide’s therapeutic and untoward effects."
pramipexole,MIRAPEX,Nonergot Dopamine Agonist,Nervous System Dizziness Somnolence Insomnia Hallucinations Confusion Amnesia Hypesthesia Dystonia Akathisia Thinking abnormalities Decreased libido Myoclonus Digestive System Nausea Constipation Anorexia Dysphagia Body as a Whole Asthenia General edema Malaise Reaction unevaluable Fever Metabolic & Nutritional System Peripheral edema Decreased weight Special Senses Vision abnormalities Urogenital System Impotence Adverse-Reactions with Pramipexole Dihydrochloride Tablets in Advanced Parkinson’s Disease /Adverse Reaction Pramipexole dihydrochloride tablets Nervous System Dyskinesia Extrapyramidal syndrome Insomnia Dizziness Hallucinations Dream abnormalities Confusion Somnolence Dystonia Gait abnormalities Hypertonia Amnesia Akathisia Thinking abnormalities Paranoid reaction Delusions Sleep disorders Cardiovascular System Postural hypotension Body as a Whole Accidental injury Asthenia General edema Chest pain Malaise Digestive System Constipation Dry mouth Urogenital System Urinary fre,"Pramipexole is a non-ergot dopamine agonist with high relative in vitro specificity and full intrinsic activity at the D 2 subfamily of dopamine receptors, binding with higher affinity to D 3 than to D 2 or D 4 receptor subtypes. Parkinson’s Disease The precise mechanism of action of pramipexole as a treatment for Parkinson’s disease is unknown, although it is believed to be related to its ability to stimulate dopamine receptors in the striatum."
pregabalin,Bonqat; LYRICA,Gabapentinoid,Nervous system Dizziness Somnolence Neuropathy Ataxia Vertigo Confusion Euphoria Incoordination Thinking abnormal Tremor Abnormal gait Amnesia Nervousness Respiratory system Dyspnea Special senses Blurry vision Abnormal vision mg/d mg/d mg/d mg/d All PGB Body as a whole Infection Headache Pain Accidental injury Flu syndrome Face edema Digestive system Dry mouth Constipation Flatulence Vomiting Metabolic and nutritional disorders Peripheral edema Weight gain Edema Musculoskeletal system Myasthenia Nervous system Dizziness Somnolence Ataxia Abnormal gait Confusion Thinking abnormal Incoordination Amnesia Speech disorder Respiratory system Bronchitis Special senses Blurry vision Diplopia Abnormal vision Eye Disorder Urogenital System Urinary Incontinence mg/d mg/d mg/d All PGB Body as a Whole Accidental Injury Pain Digestive System Increased Appetite Dry Mouth Constipation Metabolic and Nutritional Disorders Weight Gain Peripheral Edema Nervous System Dizziness Somnolence Ataxia Tremor Th,"Pregabalin binds with high affinity to the alpha 2 -delta site (an auxiliary subunit of voltage-gated calcium channels) in central nervous system tissues. Although the mechanism of action of pregabalin has not been fully elucidated, results with genetically modified mice and with compounds structurally related to pregabalin (such as gabapentin) suggest that binding to the alpha 2 -delta subunit may be involved in pregabalin's anti-nociceptive and antiseizure effects in animals."
primidone,MYSOLINE,Barbiturates and derivatives,"The most frequently occurring early side effects are ataxia and vertigo. These tend to disappear with continued therapy, or with reduction of initial dosage. Occasionally, the following have been reported: nausea, anorexia, vomiting, fatigue, hyperirritability, emotional disturbances, sexual impotency, diplopia, nystagmus, drowsiness, and morbilliform skin eruptions. Granulocytopenia, agranulocytosis, and red-cell hypoplasia and aplasia, have been reported rarely. These and, occasionally, other persistent or severe side effects may necessitate withdrawal of the drug. Megaloblastic anemia may occur as a rare idiosyncrasy to primidone and to other anticonvulsants. The anemia responds to folic acid without necessity of discontinuing medication. To report SUSPECTED ADVERSE REACTIONS, contact Amneal Pharmaceuticals at 1-877-835-5472 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.",The mechanism(s) of primidone's antiepileptic action is not known. Primidone raises electro- or chemoshock seizure thresholds or alters seizure patterns in experimental animals.
propanolol,HEMANGEOL; INDERAL,Beta Blockers/Related,Reaction HEMANGEOL mg/kg/day HEMANGEOL mg/kg/day Sleep disorder Bronchitis Peripheral coldness Agitation Diarrhea Somnolence Nightmare Irritability Decreased appetite Abdominal pain,The mechanism of HEMANGEOL’s effects on infantile hemangiomas is not well understood. 12.2
propranolol,HEMANGEOL; INDERAL,Beta Blockers/Related,"Nervous System Light-headedness, mental depression manifested by insomnia, lassitude, weakness, fatigue; catatonia; visual disturbances; hallucinations; vivid dreams; an acute reversible syndrome characterized by disorientation for time and place, short-term memory loss, emotional lability, slightly clouded sensorium, and decreased performance on neuropsychometrics. For immediate- release formulations, fatigue, lethargy, and vivid dreams appear dose-related. Gastrointestinal Nausea, vomiting, epigastric distress, abdominal cramping, diarrhea, constipation, mesenteric arterial thrombosis, ischemic colitis. Allergic Hypersensitivity reactions, including anaphylactic/anaphylactoid reactions, pharyngitis and agranulocytosis; erythematous rash, fever combined with aching and sore throat; laryngospasm, and respiratory distress. Respiratory Bronchospasm Hematologic Agranulocytosis, nonthrombocytopenic purpura, thrombocytopenic purpura. Autoimmune Systemic lupus erythematosus (SLE). Skin and m",General Propranolol is a nonselective beta-adrenergic receptor blocking agent possessing no other autonomic nervous system activity. It specifically competes with beta-adrenergic receptor agonist agents for available receptor sites.
protriptyline,,Tricyclic Antidepressant,"Psychiatric: Confusional states (especially in the elderly) with hallucinations, disorientation, delusions, anxiety, restlessness, agitation; hypomania; exacerbation of psychosis; insomnia, panic, and nightmares. Neurological: Seizures; incoordination; ataxia; tremors; peripheral neuropathy; numbness, tingling, and paresthesias of extremities; extrapyramidal symptoms; drowsiness; dizziness; weakness and fatigue; headache; syndrome of inappropriate ADH (antidiuretic hormone) secretion; tinnitus; alteration in EEG patterns. Anticholinergic Paralytic ileus; hyperpyrexia; urinary retention, delayed micturition, dilatation of the urinary tract; constipation; blurred vision, disturbance of accommodation, increased intraocular pressure, mydriasis; dry mouth and rarely associated sublingual adenitis. Allergic Drug fever; petechiae, skin rash, urticaria, itching, photosensitization (avoid excessive exposure to sunlight); edema (general, or of face and tongue). Hematologic: Agranulocytosis; bone","The mechanism of its antidepressant action in man is not known. It is not a monoamine oxidase inhibitor, and it does not act primarily by stimulation of the central nervous system."
psilocybin,KETALAR; Ketaset,General Anesthetic,"Respiratory Depression Pediatric Neurotoxicity Drug-Induced Liver Injury The following adverse reactions associated with the use of KETALAR were identified in clinical studies or postmarketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular disorders Elevated blood pressure, heart rate, and cardiac index; decreases in blood pressure and heart rate; arrhythmias; cardiac decompensation (in patients with suspected catecholamine depletion). Eye disorders Diplopia, nystagmus, elevation in intraocular pressure. Gastrointestinal disorders Anorexia, nausea, vomiting, hepatobiliary dysfunction. Biliary duct dilatation and/or biliary duct stricture and/or stenosis with or without evidence of biliary obstruction and secondary sclerosing cholangitis has been reported with recurrent use (e.g., misuse/abuse or medic","KETALAR, a racemic mixture of ketamine, is a non-selective, non-competitive antagonist of the N-methyl-D-aspartate (NMDA) receptor, an ionotropic glutamate receptor. The major circulating metabolite of ketamine (norketamine) demonstrated activity at the same receptor with less affinity."
